rule_key,module,bucket,rawDistinctScenarioCount,surfacedDistinctScenarioCount,rawTotalFindingCount,surfacedTotalFindingCount,expectedMatchCount,unexpectedMatchCount,noisyMatchCount,mustNotFindViolationCount,sameSurfaceExtraCount,sameFileDifferentSignalCount,reviewOnlyCount,explainabilityGapCount,rawRegexOnlyCount,surfacedRegexOnlyCount,rawHybridCount,surfacedHybridCount,rawSemanticCount,surfacedSemanticCount,rawAstCount,surfacedAstCount,regexOnlyCount,hybridCount,semanticCount,astCount,rawRegexOnlyOnlyExercised,regexOnlyOnlyExercised,rawScenarios,surfacedScenarios,title,severity,finding_kind,family,language
guardian.digitalocean-pat,guardian,expected_positive_exercised,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,true,true,G-V1-COV-103,G-V1-COV-103,Digitalocean Pat,HIGH,SECRET,digitalocean-pat,
guardian.digitalocean-refresh-token,guardian,expected_positive_exercised,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,true,true,G-V1-COV-103,G-V1-COV-103,Digitalocean Refresh Token,HIGH,SECRET,digitalocean-refresh-token,
guardian.discord-api-token,guardian,expected_positive_exercised,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,true,true,G-V1-COV-103,G-V1-COV-103,Discord API Token,HIGH,SECRET,discord-api-token,
guardian.discord-client-id,guardian,expected_positive_exercised,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,true,true,G-V1-COV-103,G-V1-COV-103,Discord Client ID,HIGH,SECRET,discord-client-id,
guardian.discord-client-secret,guardian,expected_positive_exercised,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,true,true,G-V1-COV-103,G-V1-COV-103,Discord Client Secret,HIGH,SECRET,discord-client-secret,
guardian.doppler-api-token,guardian,expected_positive_exercised,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,true,true,G-V1-COV-103,G-V1-COV-103,Doppler API Token,HIGH,SECRET,doppler-api-token,
guardian.droneci-access-token,guardian,expected_positive_exercised,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,true,true,G-V1-COV-103,G-V1-COV-103,Droneci Access Token,HIGH,SECRET,droneci-access-token,
guardian.dropbox-api-token,guardian,expected_positive_exercised,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,true,true,G-V1-COV-103,G-V1-COV-103,Dropbox API Token,HIGH,SECRET,dropbox-api-token,
guardian.dropbox-long-lived-api-token,guardian,expected_positive_exercised,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,true,true,G-V1-COV-103,G-V1-COV-103,Dropbox Long Lived API Token,HIGH,SECRET,dropbox-long-lived-api-token,
guardian.dropbox-short-lived-api-token,guardian,expected_positive_exercised,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,true,true,G-V1-COV-103,G-V1-COV-103,Dropbox Short Lived API Token,HIGH,SECRET,dropbox-short-lived-api-token,
guardian.duffel-api-token,guardian,expected_positive_exercised,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,true,true,G-V1-COV-103,G-V1-COV-103,Duffel API Token,HIGH,SECRET,duffel-api-token,
guardian.dynatrace-api-token,guardian,expected_positive_exercised,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,true,true,G-V1-COV-103,G-V1-COV-103,Dynatrace API Token,HIGH,SECRET,dynatrace-api-token,
guardian.easypost-api-token,guardian,expected_positive_exercised,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,true,true,G-V1-COV-103,G-V1-COV-103,Easypost API Token,HIGH,SECRET,easypost-api-token,
guardian.easypost-test-api-token,guardian,expected_positive_exercised,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,true,true,G-V1-COV-103,G-V1-COV-103,Easypost Test API Token,HIGH,SECRET,easypost-test-api-token,
guardian.etsy-access-token,guardian,expected_positive_exercised,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,true,true,G-V1-COV-104,G-V1-COV-104,Etsy Access Token,HIGH,SECRET,etsy-access-token,
guardian.facebook-access-token,guardian,expected_positive_exercised,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,true,true,G-V1-COV-104,G-V1-COV-104,Facebook Access Token,HIGH,SECRET,facebook-access-token,
guardian.facebook-page-access-token,guardian,expected_positive_exercised,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,true,true,G-V1-COV-104,G-V1-COV-104,Facebook Page Access Token,HIGH,SECRET,facebook-page-access-token,
guardian.facebook-secret,guardian,expected_positive_exercised,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,true,true,G-V1-COV-104,G-V1-COV-104,Facebook Secret,HIGH,SECRET,facebook-secret,
