rule_key,module,bucket,distinctScenarioCount,totalFindingCount,expectedMatchCount,unexpectedMatchCount,noisyMatchCount,mustNotFindViolationCount,sameSurfaceExtraCount,sameFileDifferentSignalCount,reviewOnlyCount,explainabilityGapCount,regexOnlyCount,hybridCount,semanticCount,astCount,regexOnlyOnlyExercised,scenarios,title,severity,finding_kind,family,language
guardian.generic-api-key,guardian,mixed_exercised,26,89,41,8,8,0,0,0,0,0,89,0,0,0,true,G-V1-CONFIG-004;G-V1-JAVA-001;G-V1-PY-002;G-V1-TS-003;G-V2-HIST-001;G-V2-HIST-002;G-V2-HIST-004;G-V2-HIST-005;G-V2-HIST-006;G-V2-HIST-007;G-V2-HIST-009;G-V2-HIST-014;G-V2-HIST-016;G-V2-HIST-017;M-V8-001;M-V8-002;M-V8-003;M-V8-004;M-V8-005;M-V8-006;M-V8-007;M-V8-008;M-V8-009;M-V8-010;M-V8-011;M-V8-012,Generic API Key,MEDIUM,SECRET,generic-api-key,
guardian.generic-secret,guardian,never_exercised,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,,Generic API Secret,MEDIUM,SECRET,generic-secret,
guardian.github-app-token,guardian,never_exercised,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,,Github App Token,HIGH,SECRET,github-app-token,
guardian.github-fine-grained-pat,guardian,never_exercised,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,,Github Fine Grained Pat,HIGH,SECRET,github-fine-grained-pat,
guardian.github-oauth,guardian,never_exercised,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,,Github OAUTH,HIGH,SECRET,github-oauth,
guardian.github-pat,guardian,never_exercised,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,,Github Pat,HIGH,SECRET,github-pat,
guardian.github-refresh-token,guardian,never_exercised,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,,Github Refresh Token,HIGH,SECRET,github-refresh-token,
guardian.gitlab-cicd-job-token,guardian,never_exercised,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,,Gitlab Cicd Job Token,HIGH,SECRET,gitlab-cicd-job-token,
guardian.gitlab-deploy-token,guardian,never_exercised,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,,Gitlab Deploy Token,HIGH,SECRET,gitlab-deploy-token,
guardian.gitlab-feature-flag-client-token,guardian,never_exercised,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,,Gitlab Feature Flag Client Token,HIGH,SECRET,gitlab-feature-flag-client-token,
guardian.gitlab-feed-token,guardian,never_exercised,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,,Gitlab Feed Token,HIGH,SECRET,gitlab-feed-token,
guardian.gitlab-incoming-mail-token,guardian,never_exercised,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,,Gitlab Incoming Mail Token,HIGH,SECRET,gitlab-incoming-mail-token,
guardian.gitlab-kubernetes-agent-token,guardian,never_exercised,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,,Gitlab Kubernetes Agent Token,HIGH,SECRET,gitlab-kubernetes-agent-token,
guardian.gitlab-oauth-app-secret,guardian,never_exercised,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,,Gitlab OAUTH App Secret,HIGH,SECRET,gitlab-oauth-app-secret,
guardian.gitlab-pat,guardian,never_exercised,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,,Gitlab Pat,HIGH,SECRET,gitlab-pat,
