rule_key,module,family,language,title,severity,finding_kind,source_of_truth,pack_display_name,bootstrap_resource,active
guardian.discord-api-token,guardian,discord-api-token,,Discord API Token,HIGH,SECRET,runtime-db:rule_definitions@active rule_pack_versions,Guardian Secret Detection,classpath:rules/guardian.yml,true
guardian.discord-client-id,guardian,discord-client-id,,Discord Client ID,HIGH,SECRET,runtime-db:rule_definitions@active rule_pack_versions,Guardian Secret Detection,classpath:rules/guardian.yml,true
guardian.discord-client-secret,guardian,discord-client-secret,,Discord Client Secret,HIGH,SECRET,runtime-db:rule_definitions@active rule_pack_versions,Guardian Secret Detection,classpath:rules/guardian.yml,true
guardian.doppler-api-token,guardian,doppler-api-token,,Doppler API Token,HIGH,SECRET,runtime-db:rule_definitions@active rule_pack_versions,Guardian Secret Detection,classpath:rules/guardian.yml,true
guardian.droneci-access-token,guardian,droneci-access-token,,Droneci Access Token,HIGH,SECRET,runtime-db:rule_definitions@active rule_pack_versions,Guardian Secret Detection,classpath:rules/guardian.yml,true
guardian.dropbox-api-token,guardian,dropbox-api-token,,Dropbox API Token,HIGH,SECRET,runtime-db:rule_definitions@active rule_pack_versions,Guardian Secret Detection,classpath:rules/guardian.yml,true
guardian.dropbox-long-lived-api-token,guardian,dropbox-long-lived-api-token,,Dropbox Long Lived API Token,HIGH,SECRET,runtime-db:rule_definitions@active rule_pack_versions,Guardian Secret Detection,classpath:rules/guardian.yml,true
guardian.dropbox-short-lived-api-token,guardian,dropbox-short-lived-api-token,,Dropbox Short Lived API Token,HIGH,SECRET,runtime-db:rule_definitions@active rule_pack_versions,Guardian Secret Detection,classpath:rules/guardian.yml,true
guardian.duffel-api-token,guardian,duffel-api-token,,Duffel API Token,HIGH,SECRET,runtime-db:rule_definitions@active rule_pack_versions,Guardian Secret Detection,classpath:rules/guardian.yml,true
guardian.dynatrace-api-token,guardian,dynatrace-api-token,,Dynatrace API Token,HIGH,SECRET,runtime-db:rule_definitions@active rule_pack_versions,Guardian Secret Detection,classpath:rules/guardian.yml,true
guardian.easypost-api-token,guardian,easypost-api-token,,Easypost API Token,HIGH,SECRET,runtime-db:rule_definitions@active rule_pack_versions,Guardian Secret Detection,classpath:rules/guardian.yml,true
guardian.easypost-test-api-token,guardian,easypost-test-api-token,,Easypost Test API Token,HIGH,SECRET,runtime-db:rule_definitions@active rule_pack_versions,Guardian Secret Detection,classpath:rules/guardian.yml,true
guardian.etsy-access-token,guardian,etsy-access-token,,Etsy Access Token,HIGH,SECRET,runtime-db:rule_definitions@active rule_pack_versions,Guardian Secret Detection,classpath:rules/guardian.yml,true
guardian.facebook-access-token,guardian,facebook-access-token,,Facebook Access Token,HIGH,SECRET,runtime-db:rule_definitions@active rule_pack_versions,Guardian Secret Detection,classpath:rules/guardian.yml,true
guardian.facebook-page-access-token,guardian,facebook-page-access-token,,Facebook Page Access Token,HIGH,SECRET,runtime-db:rule_definitions@active rule_pack_versions,Guardian Secret Detection,classpath:rules/guardian.yml,true
guardian.facebook-secret,guardian,facebook-secret,,Facebook Secret,HIGH,SECRET,runtime-db:rule_definitions@active rule_pack_versions,Guardian Secret Detection,classpath:rules/guardian.yml,true
guardian.fastly-api-token,guardian,fastly-api-token,,Fastly API Token,HIGH,SECRET,runtime-db:rule_definitions@active rule_pack_versions,Guardian Secret Detection,classpath:rules/guardian.yml,true
guardian.finicity-api-token,guardian,finicity-api-token,,Finicity API Token,HIGH,SECRET,runtime-db:rule_definitions@active rule_pack_versions,Guardian Secret Detection,classpath:rules/guardian.yml,true
guardian.finicity-client-secret,guardian,finicity-client-secret,,Finicity Client Secret,HIGH,SECRET,runtime-db:rule_definitions@active rule_pack_versions,Guardian Secret Detection,classpath:rules/guardian.yml,true
guardian.finnhub-access-token,guardian,finnhub-access-token,,Finnhub Access Token,HIGH,SECRET,runtime-db:rule_definitions@active rule_pack_versions,Guardian Secret Detection,classpath:rules/guardian.yml,true
guardian.flickr-access-token,guardian,flickr-access-token,,Flickr Access Token,HIGH,SECRET,runtime-db:rule_definitions@active rule_pack_versions,Guardian Secret Detection,classpath:rules/guardian.yml,true
guardian.flutterwave-encryption-key,guardian,flutterwave-encryption-key,,Flutterwave Encryption Key,HIGH,SECRET,runtime-db:rule_definitions@active rule_pack_versions,Guardian Secret Detection,classpath:rules/guardian.yml,true
guardian.flutterwave-public-key,guardian,flutterwave-public-key,,Flutterwave Public Key,HIGH,SECRET,runtime-db:rule_definitions@active rule_pack_versions,Guardian Secret Detection,classpath:rules/guardian.yml,true
guardian.flutterwave-secret-key,guardian,flutterwave-secret-key,,Flutterwave Secret Key,CRITICAL,SECRET,runtime-db:rule_definitions@active rule_pack_versions,Guardian Secret Detection,classpath:rules/guardian.yml,true
guardian.flyio-access-token,guardian,flyio-access-token,,Flyio Access Token,HIGH,SECRET,runtime-db:rule_definitions@active rule_pack_versions,Guardian Secret Detection,classpath:rules/guardian.yml,true
guardian.frameio-api-token,guardian,frameio-api-token,,Frameio API Token,HIGH,SECRET,runtime-db:rule_definitions@active rule_pack_versions,Guardian Secret Detection,classpath:rules/guardian.yml,true
guardian.freemius-secret-key,guardian,freemius-secret-key,,Freemius Secret Key,CRITICAL,SECRET,runtime-db:rule_definitions@active rule_pack_versions,Guardian Secret Detection,classpath:rules/guardian.yml,true
guardian.freshbooks-access-token,guardian,freshbooks-access-token,,Freshbooks Access Token,HIGH,SECRET,runtime-db:rule_definitions@active rule_pack_versions,Guardian Secret Detection,classpath:rules/guardian.yml,true
guardian.gcp-api-key,guardian,gcp-api-key,,GCP API Key,HIGH,SECRET,runtime-db:rule_definitions@active rule_pack_versions,Guardian Secret Detection,classpath:rules/guardian.yml,true
guardian.generic-api-key,guardian,generic-api-key,,Generic API Key,MEDIUM,SECRET,runtime-db:rule_definitions@active rule_pack_versions,Guardian Secret Detection,classpath:rules/guardian.yml,true
guardian.generic-secret,guardian,generic-secret,,Generic API Secret,MEDIUM,SECRET,runtime-db:rule_definitions@active rule_pack_versions,Guardian Secret Detection,classpath:rules/guardian.yml,true
guardian.github-app-token,guardian,github-app-token,,Github App Token,HIGH,SECRET,runtime-db:rule_definitions@active rule_pack_versions,Guardian Secret Detection,classpath:rules/guardian.yml,true
guardian.github-fine-grained-pat,guardian,github-fine-grained-pat,,Github Fine Grained Pat,HIGH,SECRET,runtime-db:rule_definitions@active rule_pack_versions,Guardian Secret Detection,classpath:rules/guardian.yml,true
guardian.github-oauth,guardian,github-oauth,,Github OAUTH,HIGH,SECRET,runtime-db:rule_definitions@active rule_pack_versions,Guardian Secret Detection,classpath:rules/guardian.yml,true
guardian.github-pat,guardian,github-pat,,Github Pat,HIGH,SECRET,runtime-db:rule_definitions@active rule_pack_versions,Guardian Secret Detection,classpath:rules/guardian.yml,true
guardian.github-refresh-token,guardian,github-refresh-token,,Github Refresh Token,HIGH,SECRET,runtime-db:rule_definitions@active rule_pack_versions,Guardian Secret Detection,classpath:rules/guardian.yml,true
guardian.gitlab-cicd-job-token,guardian,gitlab-cicd-job-token,,Gitlab Cicd Job Token,HIGH,SECRET,runtime-db:rule_definitions@active rule_pack_versions,Guardian Secret Detection,classpath:rules/guardian.yml,true
guardian.gitlab-deploy-token,guardian,gitlab-deploy-token,,Gitlab Deploy Token,HIGH,SECRET,runtime-db:rule_definitions@active rule_pack_versions,Guardian Secret Detection,classpath:rules/guardian.yml,true
guardian.gitlab-feature-flag-client-token,guardian,gitlab-feature-flag-client-token,,Gitlab Feature Flag Client Token,HIGH,SECRET,runtime-db:rule_definitions@active rule_pack_versions,Guardian Secret Detection,classpath:rules/guardian.yml,true
guardian.gitlab-feed-token,guardian,gitlab-feed-token,,Gitlab Feed Token,HIGH,SECRET,runtime-db:rule_definitions@active rule_pack_versions,Guardian Secret Detection,classpath:rules/guardian.yml,true
guardian.gitlab-incoming-mail-token,guardian,gitlab-incoming-mail-token,,Gitlab Incoming Mail Token,HIGH,SECRET,runtime-db:rule_definitions@active rule_pack_versions,Guardian Secret Detection,classpath:rules/guardian.yml,true
guardian.gitlab-kubernetes-agent-token,guardian,gitlab-kubernetes-agent-token,,Gitlab Kubernetes Agent Token,HIGH,SECRET,runtime-db:rule_definitions@active rule_pack_versions,Guardian Secret Detection,classpath:rules/guardian.yml,true
guardian.gitlab-oauth-app-secret,guardian,gitlab-oauth-app-secret,,Gitlab OAUTH App Secret,HIGH,SECRET,runtime-db:rule_definitions@active rule_pack_versions,Guardian Secret Detection,classpath:rules/guardian.yml,true
guardian.gitlab-pat,guardian,gitlab-pat,,Gitlab Pat,HIGH,SECRET,runtime-db:rule_definitions@active rule_pack_versions,Guardian Secret Detection,classpath:rules/guardian.yml,true
guardian.gitlab-pat-routable,guardian,gitlab-pat-routable,,Gitlab Pat Routable,HIGH,SECRET,runtime-db:rule_definitions@active rule_pack_versions,Guardian Secret Detection,classpath:rules/guardian.yml,true
